央视,#genre#
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226917/index.m3u8?fmt=ts2hls
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226970/index.m3u8?fmt=ts2hls
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226960/index.m3u8?fmt=ts2hls
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8?fmt=ts2hls
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226921/index.m3u8?fmt=ts2hls
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226978/index.m3u8?fmt=ts2hls
CCTV6,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8?fmt=ts2hls
CCTV7,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226935/index.m3u8?fmt=ts2hls
CCTV8,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226972/index.m3u8?fmt=ts2hls
CCTV9,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226941/index.m3u8?fmt=ts2hls
CCTV10,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226952/index.m3u8?fmt=ts2hls
CCTV11,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226950/index.m3u8?fmt=ts2hls
CCTV12,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226956/index.m3u8?fmt=ts2hls
CCTV13,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226919/index.m3u8?fmt=ts2hls
CCTV14,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226958/index.m3u8?fmt=ts2hls
CCTV15,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226524/index.m3u8?fmt=ts2hls
CCTV17,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226954/index.m3u8?fmt=ts2hls
CCTV1,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8?servicetype=1
CCTV2,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8?servicetype=1
CCTV3,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8?servicetype=1
CCTV4,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8?servicetype=1
CCTV5,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8?servicetype=1
CCTV5+,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8?servicetype=1
CCTV6,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8?servicetype=1
CCTV7,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?servicetype=1
CCTV8,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?servicetype=1
CCTV9,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?servicetype=1
CCTV10,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?servicetype=1
CCTV11,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227171/index.m3u8?servicetype=1
